index,cliente,latitud,longitud,fin_visita,order
20588,70,-34.5628449919097,-58.4504790656384,2024-05-30 08:36:09,1
8669,70,-34.5641131815225,-58.4480389749338,2024-05-30 08:40:02,2
23367,70,-34.5624643669899,-58.4527441292546,2024-05-30 08:46:11,3
488,70,-34.5706942180314,-58.479995648222,2024-05-30 08:49:27,4
1024,70,-34.5731075140899,-58.4844111688679,2024-05-30 08:59:01,5
11857,70,-34.5683856901722,-58.4560831903707,2024-05-30 09:01:26,6
7937,70,-34.5663887943565,-58.4549119062546,2024-05-30 09:07:36,7
8237,70,-34.5784865817624,-58.4894911696673,2024-05-30 09:10:50,8
25317,70,-34.5676879720143,-58.457451549527,2024-05-30 09:40:36,9
19339,70,-34.567251196026,-58.4585290171056,2024-05-30 09:41:06,10
2,70,-34.5647792239184,-58.4599557029796,2024-05-30 09:50:08,11
309,70,-34.5455058043756,-58.4634955362605,2024-05-30 09:55:05,12
19757,70,-34.5800149795024,-58.4872810464929,2024-05-30 09:55:07,13
7786,70,-34.5648672053581,-58.4613227944433,2024-05-30 09:56:24,14
21151,70,-34.5787225969219,-58.4839278265773,2024-05-30 09:56:29,15
19164,70,-34.5808652889395,-58.4846114629239,2024-05-30 10:17:17,16
7877,70,-34.5666903391127,-58.4620122951909,2024-05-30 10:21:14,17
21155,70,-34.5667828658847,-58.462476561952,2024-05-30 10:21:44,18
7851,70,-34.5668147616356,-58.4625304674534,2024-05-30 10:21:44,19
911,70,-34.5776894650921,-58.4865241676903,2024-05-30 10:24:53,20
13440,70,-34.5654796010398,-58.4639041952761,2024-05-30 10:31:57,21
11740,70,-34.5553903227976,-58.4501126478742,2024-05-30 10:32:14,22
26775,70,-34.5616668037062,-58.4626378629534,2024-05-30 10:38:50,23
724,70,-34.581275115704,-58.4828430772892,2024-05-30 10:41:31,24
26596,70,-34.5814319628482,-58.4831121530873,2024-05-30 10:41:31,25
11732,70,-34.5598565087275,-58.4624043515326,2024-05-30 10:56:10,26
22324,70,-34.5803503060901,-58.481254210061,2024-05-30 10:58:47,27
7701,70,-34.6119033859692,-58.5281517341244,2024-05-30 11:04:49,28
26908,20,-34.6369492560261,-58.4964843440756,2024-05-30 11:06:04,29
11659,70,-34.6149785622209,-58.5265146507096,2024-05-30 11:11:50,30
867,70,-34.5604790384693,-58.4589918107014,2024-05-30 11:13:26,31
7692,70,-34.5745554,-58.4798393,2024-05-30 11:13:51,32
1455,20,-34.467979,-58.559252,2024-05-30 11:15:56,33
18095,70,-34.5618705982609,-58.4608938813163,2024-05-30 11:17:11,34
13484,70,-34.5718802045829,-58.4731957363261,2024-05-30 11:18:51,35
15,70,-34.6027006618657,-58.5065388808549,2024-05-30 11:21:50,36
7976,70,-34.5646325814868,-58.4585147658902,2024-05-30 11:24:00,37
1188,20,-34.474743,-58.555597,2024-05-30 11:27:45,38
20695,70,-34.5608452098999,-58.4572525135038,2024-05-30 11:28:41,39
14816,20,-34.5748335,-58.4896819,2024-05-30 11:29:20,40
933,70,-34.6133966966883,-58.4938551168901,2024-05-30 11:31:24,41
22513,70,-34.5581804038894,-58.4476263623418,2024-05-30 11:33:08,42
8139,70,-34.5728049713108,-58.4724113737037,2024-05-30 11:37:01,43
713,70,-34.5591783474526,-58.4544400564496,2024-05-30 11:39:24,44
11697,70,-34.558899411198,-58.4536647305661,2024-05-30 11:39:48,45
548,70,-34.5598404187997,-58.4530734353259,2024-05-30 11:40:18,46
8199,70,-34.5612414603392,-58.445851026047,2024-05-30 11:43:40,47
26913,20,-34.5746769656695,-58.4828690753451,2024-05-30 11:45:48,48
8189,70,-34.5572851994721,-58.4464361252002,2024-05-30 11:50:33,49
25296,20,-34.5739458872397,-58.4834424617695,2024-05-30 11:51:48,50
1498,20,-34.574525,-58.484807,2024-05-30 11:53:48,51
11809,70,-34.5876910416381,-58.4859433615272,2024-05-30 11:58:40,52
26075,20,-34.6763846762447,-58.4831859215744,2024-05-30 12:01:22,53
830,70,-34.5973249401877,-58.4880490918538,2024-05-30 12:04:28,54
13468,70,-34.6189639210471,-58.5040714887518,2024-05-30 12:09:10,55
734,70,-34.5840953757966,-58.4895089557788,2024-05-30 12:15:21,56
25747,20,-34.5761690251693,-58.4835552705498,2024-05-30 12:22:34,57
2013,20,-34.6629905,-58.4883022,2024-05-30 12:28:10,58
21500,70,-34.5596913512154,-58.4643730532215,2024-05-30 12:28:29,59
8078,70,-34.614622772438,-58.4954105207797,2024-05-30 12:31:28,60
24763,70,-34.5990639990843,-58.4854078733663,2024-05-30 12:32:53,61
705,70,-34.5986858067833,-58.4847599318935,2024-05-30 12:32:53,62
1441,20,-34.579137,-58.479114,2024-05-30 12:33:29,63
7676,70,-34.5557410978819,-58.469240536792,2024-05-30 12:36:35,64
18883,20,-34.4645909685869,-58.5153321020488,2024-05-30 12:37:19,65
1390,20,-34.650909,-58.467648,2024-05-30 12:38:46,66
22619,20,-34.5809422965037,-58.4822712080357,2024-05-30 12:39:29,67
