index,cliente,latitud,longitud,fin_visita,order
4295,20,-34.6088812572414,-58.4413593516164,2024-05-23 07:15:04,1
3913,20,-34.610435,-58.441149,2024-05-23 07:30:08,2
14716,20,-34.615888,-58.441969,2024-05-23 07:42:30,3
22240,20,-34.6085592914166,-58.4245845414229,2024-05-23 08:05:20,4
17964,20,-34.605884,-58.425633,2024-05-23 08:13:31,5
25582,20,-34.6156920917517,-58.4303864080374,2024-05-23 08:31:06,6
16306,20,-34.6157919302685,-58.4309906733668,2024-05-23 08:34:34,7
12533,20,-34.615969,-58.431012,2024-05-23 08:34:34,8
4086,20,-34.6189741515304,-58.4377834542438,2024-05-23 08:36:24,9
25311,20,-34.6208774424463,-58.431318516465,2024-05-23 08:51:34,10
20854,20,-34.6186643621592,-58.4306993495505,2024-05-23 09:10:34,11
15616,20,-34.623247,-58.43803,2024-05-23 09:27:36,12
12742,20,-34.6233361,-58.4394998,2024-05-23 09:33:18,13
4059,20,-34.6239221409436,-58.4449987289583,2024-05-23 09:45:06,14
23449,20,-34.6235956274519,-58.4447531477961,2024-05-23 09:45:06,15
473,70,-34.5716353368312,-58.4919153648252,2024-05-23 09:46:30,16
951,70,-34.5684327953576,-58.4878619043497,2024-05-23 09:57:49,17
4316,20,-34.6267386303756,-58.4423555773364,2024-05-23 10:02:05,18
23747,20,-34.6264841777681,-58.4403193214155,2024-05-23 10:13:49,19
26068,20,-34.6238955682253,-58.4303460862792,2024-05-23 10:26:56,20
14755,20,-34.6609688577813,-58.4446580142669,2024-05-23 10:29:49,21
19610,20,-34.6229708114384,-58.4332579671534,2024-05-23 10:33:35,22
14806,20,-34.6198736,-58.4355073,2024-05-23 10:40:54,23
3958,20,-34.610742,-58.482063,2024-05-23 10:43:09,24
17242,20,-34.62111,-58.437317,2024-05-23 10:57:41,25
14757,20,-34.6434513402018,-58.4544283938266,2024-05-23 10:59:29,26
6623,20,-34.580118184101,-58.4129460925868,2024-05-23 10:59:57,27
212,70,-34.5685649754275,-58.4869699771732,2024-05-23 11:04:12,28
14482,70,-34.6039522784279,-58.501272303026,2024-05-23 11:06:00,29
21677,20,-34.6344449205375,-58.4467224773272,2024-05-23 11:10:29,30
18073,20,-34.6299673491058,-58.4465486303973,2024-05-23 11:13:29,31
18258,70,-34.6004158083929,-58.4953309110945,2024-05-23 11:14:00,32
635,70,-34.6006069095758,-58.4959696238603,2024-05-23 11:14:00,33
3918,20,-34.6208953857422,-58.4409294128418,2024-05-23 11:14:12,34
4054,20,-34.6203682064979,-58.441428107798,2024-05-23 11:14:12,35
23065,20,-34.5808049126266,-58.4095028042793,2024-05-23 11:18:40,36
20851,20,-34.6283737250325,-58.4357197045241,2024-05-23 11:22:45,37
14848,20,-34.6294776437544,-58.4522191451113,2024-05-23 11:27:25,38
4052,20,-34.6218089920588,-58.4423926532958,2024-05-23 11:31:42,39
4188,20,-34.621232,-58.4435,2024-05-23 11:32:04,40
23455,20,-34.6212459698173,-58.442913064473,2024-05-23 11:32:04,41
22126,20,-34.6247778797382,-58.4767904417303,2024-05-23 11:34:25,42
3670,20,-34.624222,-58.473028,2024-05-23 11:36:26,43
12523,20,-34.6178688227952,-58.4454053471047,2024-05-23 11:37:08,44
15607,20,-34.622879,-58.469933,2024-05-23 11:38:25,45
26597,70,-34.5814319628482,-58.4831121530873,2024-05-23 11:38:55,46
12560,20,-34.620735,-58.454969,2024-05-23 11:44:57,47
17950,70,-34.5472655698251,-58.4451120946429,2024-05-23 11:45:28,48
12724,20,-34.6244745,-58.4696335,2024-05-23 11:50:26,49
17582,20,-34.627513,-58.429804,2024-05-23 11:50:54,50
995,70,-34.5903369920811,-58.5087182710946,2024-05-23 11:53:05,51
12548,20,-34.625276,-58.472811,2024-05-23 11:54:26,52
3693,20,-34.6241416931152,-58.3571357727051,2024-05-23 11:55:37,53
11672,70,-34.5546505905592,-58.4392855662963,2024-05-23 11:56:47,54
11773,70,-34.6049908501859,-58.4945795717971,2024-05-23 11:56:56,55
20567,70,-34.604503436176,-58.4949984772723,2024-05-23 11:56:56,56
22325,70,-34.5803503060901,-58.481254210061,2024-05-23 11:57:19,57
23256,20,-34.5825982345032,-58.4050263499904,2024-05-23 12:05:17,58
4214,20,-34.6268028,-58.472618,2024-05-23 12:06:26,59
21600,20,-34.6268977012007,-58.473051592382,2024-05-23 12:06:26,60
20488,70,-34.5762449676993,-58.5043287717493,2024-05-23 12:08:24,61
229,70,-34.592385764956,-58.5083376213171,2024-05-23 12:12:04,62
26405,20,-34.6147359128391,-58.465930583289,2024-05-23 12:15:26,63
18671,20,-34.6310848538456,-58.4713069919864,2024-05-23 12:16:26,64
25307,20,-34.6307511738894,-58.4738649450003,2024-05-23 12:18:26,65
2056,20,-34.589353,-58.4101219,2024-05-23 12:20:20,66
796,70,-34.589620995992,-58.5159152717601,2024-05-23 12:24:04,67
177,70,-34.581161466089,-58.4996533124613,2024-05-23 12:27:24,68
15316,70,-34.5808931397258,-58.5001218700852,2024-05-23 12:27:24,69
16499,70,-34.5763165912253,-58.4777570227015,2024-05-23 12:29:59,70
20099,70,-34.555053137708,-58.4522425382183,2024-05-23 12:30:24,71
522,70,-34.5934134491025,-58.5161699719925,2024-05-23 12:32:04,72
3770,20,-34.627033,-58.433955,2024-05-23 12:32:46,73
25489,20,-34.5894301396259,-58.403997762934,2024-05-23 12:33:20,74
22474,20,-34.6279343359582,-58.4337451887473,2024-05-23 12:33:46,75
184,70,-34.581818545007,-58.4990551517785,2024-05-23 12:35:24,76
1014,70,-34.6004053296245,-58.5119611680013,2024-05-23 12:36:04,77
23241,20,-34.6161883606165,-58.4652647313639,2024-05-23 12:36:22,78
15017,20,-34.6320610850016,-58.4689377744402,2024-05-23 12:40:26,79
11685,70,-34.6011263002522,-58.5116942821312,2024-05-23 12:42:04,80
4209,20,-34.6346048,-58.4366706,2024-05-23 12:43:31,81
19543,20,-34.6349192578499,-58.4368186633481,2024-05-23 12:43:31,82
11120,20,-34.610582,-58.361919,2024-05-23 12:45:24,83
